ID_REGISTRO,ID_IOT,VL_COORDX,VL_COORDY,VL_COORDZ,DTH_REGISTRO,BSSID,RSSI
303,2,2.96,0.0,0.5,2025-07-31 01:05:37,24:FD:0D:D7:17:4A,-58
304,1,8.26,0.78,0.57,2025-07-31 01:05:39,24:FD:0D:D7:17:4A,-52
305,2,2.96,0.0,0.5,2025-07-31 01:05:46,24:FD:0D:D7:17:4A,-60
306,1,8.26,0.78,0.57,2025-07-31 01:05:47,24:FD:0D:D7:17:4A,-52
307,2,2.96,0.0,0.5,2025-07-31 01:05:54,24:FD:0D:D7:17:4A,-59
308,1,8.26,0.78,0.57,2025-07-31 01:05:57,24:FD:0D:D7:17:4A,-52
309,2,2.96,0.0,0.5,2025-07-31 01:06:03,24:FD:0D:D7:17:4A,-58
310,1,8.26,0.78,0.57,2025-07-31 01:06:06,24:FD:0D:D7:17:4A,-52
311,2,2.96,0.0,0.5,2025-07-31 01:06:11,24:FD:0D:D7:17:4A,-61
312,1,8.26,0.78,0.57,2025-07-31 01:06:14,24:FD:0D:D7:17:4A,-52
313,2,2.96,0.0,0.5,2025-07-31 01:06:20,24:FD:0D:D7:17:4A,-59
314,1,8.26,0.78,0.57,2025-07-31 01:06:24,24:FD:0D:D7:17:4A,-52
315,2,2.96,0.0,0.5,2025-07-31 01:06:29,24:FD:0D:D7:17:4A,-61
316,1,8.26,0.78,0.57,2025-07-31 01:06:33,24:FD:0D:D7:17:4A,-51
317,2,2.96,0.0,0.5,2025-07-31 01:06:38,24:FD:0D:D7:17:4A,-62
318,1,8.26,0.78,0.57,2025-07-31 01:06:42,24:FD:0D:D7:17:4A,-52
319,2,2.96,0.0,0.5,2025-07-31 01:06:46,24:FD:0D:D7:17:4A,-61
320,1,8.26,0.78,0.57,2025-07-31 01:06:51,24:FD:0D:D7:17:4A,-52
321,2,2.96,0.0,0.5,2025-07-31 01:06:55,24:FD:0D:D7:17:4A,-59
322,1,8.26,0.78,0.57,2025-07-31 01:07:00,24:FD:0D:D7:17:4A,-52
323,2,2.96,0.0,0.5,2025-07-31 01:07:04,24:FD:0D:D7:17:4A,-60
324,1,8.26,0.78,0.57,2025-07-31 01:07:08,24:FD:0D:D7:17:4A,-51
325,2,2.96,0.0,0.5,2025-07-31 01:07:12,24:FD:0D:D7:17:4A,-57
326,1,8.26,0.78,0.57,2025-07-31 01:07:17,24:FD:0D:D7:17:4A,-52
327,2,2.96,0.0,0.5,2025-07-31 01:07:21,24:FD:0D:D7:17:4A,-58
328,1,8.26,0.78,0.57,2025-07-31 01:07:26,24:FD:0D:D7:17:4A,-52
329,2,2.96,0.0,0.5,2025-07-31 01:07:29,24:FD:0D:D7:17:4A,-58
330,1,8.26,0.78,0.57,2025-07-31 01:07:35,24:FD:0D:D7:17:4A,-51
331,2,2.96,0.0,0.5,2025-07-31 01:07:38,24:FD:0D:D7:17:4A,-61
332,1,8.26,0.78,0.57,2025-07-31 01:07:44,24:FD:0D:D7:17:4A,-52
333,2,2.96,0.0,0.5,2025-07-31 01:07:46,24:FD:0D:D7:17:4A,-61
334,1,8.26,0.78,0.57,2025-07-31 01:07:53,24:FD:0D:D7:17:4A,-51
